sample,mouse.ID,Diet,Batch,age.wks,age.approx.wks,Age (month),Cage,Cohort,Age_bins,Age group
DO_2D_4126_021w,DO-2D-4126,2D,76,21,21,5,5887,G26W2,<=5 months,5 months
DO_AL_0011_069w,DO-AL-0011,AL,4,69,69,16,3298,G22W1,13-18 months,8/10/16 months
DO_AL_0011_044w,DO-AL-0011,AL,1,44,44,10,3298,G22W1,6-12 months,8/10/16 months
DO_AL_0011_121w,DO-AL-0011,AL,6,121,121,28,3298,G22W1,25-30 months,22/28 months
DO_AL_0011_038w,DO-AL-0011,AL,3,38,35,8,3298,G22W1,6-12 months,8/10/16 months
DO_AL_0011_097w,DO-AL-0011,AL,6,97,96,22,3298,G22W1,19-24 months,22/28 months
DO_AL_0001_038w,DO-AL-0001,AL,3,38,35,8,3297,G22W1,6-12 months,8/10/16 months
DO_AL_0001_044w,DO-AL-0001,AL,1,44,44,10,3297,G22W1,6-12 months,8/10/16 months
DO_AL_0001_121w,DO-AL-0001,AL,6,121,121,28,3297,G22W1,25-30 months,22/28 months
DO_AL_0001_097w,DO-AL-0001,AL,6,97,96,22,3297,G22W1,19-24 months,22/28 months
DO_AL_0001_069w,DO-AL-0001,AL,4,69,69,16,3297,G22W1,13-18 months,8/10/16 months
DO_40_2050_200w,DO-40-2050,40,46,200,200,46,4338,G23W2,>=31 months,34+months
DO_40_2050_173w,DO-40-2050,40,46,173,174,40,4338,G23W2,>=31 months,34+months
DO_40_2050_148w,DO-40-2050,40,45,148,148,34,4338,G23W2,>=31 months,34+months
DO_40_2050_121w,DO-40-2050,40,44,121,121,28,4338,G23W2,25-30 months,22/28 months
DO_40_2050_020w,DO-40-2050,40,33,20,21,5,4338,G23W2,<=5 months,5 months
DO_2D_4031_035w,DO-2D-4031,2D,10,35,35,8,3398,G22W2,6-12 months,8/10/16 months
DO_2D_4031_043w,DO-2D-4031,2D,12,43,44,10,3398,G22W2,6-12 months,8/10/16 months
DO_2D_4031_069w,DO-2D-4031,2D,13,69,69,16,3398,G22W2,13-18 months,8/10/16 months
DO_AL_0178_021w,DO-AL-0178,AL,118,21,21,5,6531,G28W2,<=5 months,5 months
DO_2D_4067_021w,DO-2D-4067,2D,48,21,21,5,4978,G24W1,<=5 months,5 months
DO_AL_0015_069w,DO-AL-0015,AL,4,69,69,16,3298,G22W1,13-18 months,8/10/16 months
DO_AL_0015_044w,DO-AL-0015,AL,1,44,44,10,3298,G22W1,6-12 months,8/10/16 months
DO_AL_0015_038w,DO-AL-0015,AL,3,38,35,8,3298,G22W1,6-12 months,8/10/16 months
DO_2D_4146_096w,DO-2D-4146,2D,103,96,96,22,6299,G27W2,19-24 months,22/28 months
DO_2D_4146_069w,DO-2D-4146,2D,101,69,69,16,6299,G27W2,13-18 months,8/10/16 months
DO_40_2161_021w,DO-40-2161,40,108,21,21,5,6473,G28W1,<=5 months,5 months
DO_AL_0167_097w,DO-AL-0167,AL,115,97,96,22,6469,G28W1,19-24 months,22/28 months
DO_AL_0167_021w,DO-AL-0167,AL,107,21,21,5,6469,G28W1,<=5 months,5 months
DO_AL_0137_044w,DO-AL-0137,AL,85,44,44,10,6183,G27W1,6-12 months,8/10/16 months
DO_AL_0137_069w,DO-AL-0137,AL,89,69,69,16,6183,G27W1,13-18 months,8/10/16 months
DO_AL_0137_021w,DO-AL-0137,AL,83,21,21,5,6183,G27W1,<=5 months,5 months
DO_AL_0007_121w,DO-AL-0007,AL,6,121,121,28,3297,G22W1,25-30 months,22/28 months
DO_AL_0007_097w,DO-AL-0007,AL,6,97,96,22,3297,G22W1,19-24 months,22/28 months
DO_AL_0007_038w,DO-AL-0007,AL,3,38,35,8,3297,G22W1,6-12 months,8/10/16 months
DO_AL_0007_069w,DO-AL-0007,AL,4,69,69,16,3297,G22W1,13-18 months,8/10/16 months
DO_AL_0007_044w,DO-AL-0007,AL,1,44,44,10,3297,G22W1,6-12 months,8/10/16 months
DO_1D_3119_120w,DO-1D-3119,1D,80,120,121,28,5884,G26W2,25-30 months,22/28 months
DO_1D_3119_096w,DO-1D-3119,1D,79,96,96,22,5884,G26W2,19-24 months,22/28 months
DO_1D_3119_044w,DO-1D-3119,1D,77,44,44,10,5884,G26W2,6-12 months,8/10/16 months
DO_40_2150_096w,DO-40-2150,40,102,96,96,22,6305,G27W2,19-24 months,22/28 months
DO_40_2150_069w,DO-40-2150,40,101,69,69,16,6305,G27W2,13-18 months,8/10/16 months
DO_40_2150_148w,DO-40-2150,40,106,148,148,34,6305,G27W2,>=31 months,34+months
DO_2D_4074_044w,DO-2D-4074,2D,50,44,44,10,4979,G24W1,6-12 months,8/10/16 months
DO_2D_4074_095w,DO-2D-4074,2D,54,95,96,22,4979,G24W1,19-24 months,22/28 months
DO_AL_0008_038w,DO-AL-0008,AL,3,38,35,8,3297,G22W1,6-12 months,8/10/16 months
DO_AL_0008_044w,DO-AL-0008,AL,1,44,44,10,3297,G22W1,6-12 months,8/10/16 months
DO_AL_0008_069w,DO-AL-0008,AL,4,69,69,16,3297,G22W1,13-18 months,8/10/16 months
DO_40_2063_121w,DO-40-2063,40,45,121,121,28,4339,G23W2,25-30 months,22/28 months
DO_40_2063_096w,DO-40-2063,40,42,96,96,22,4339,G23W2,19-24 months,22/28 months
DO_40_2063_069w,DO-40-2063,40,39,69,69,16,4339,G23W2,13-18 months,8/10/16 months
DO_40_2054_069w,DO-40-2054,40,39,69,69,16,4338,G23W2,13-18 months,8/10/16 months
DO_2D_4072_044w,DO-2D-4072,2D,50,44,44,10,4978,G24W1,6-12 months,8/10/16 months
DO_2D_4072_120w,DO-2D-4072,2D,56,120,121,28,4978,G24W1,25-30 months,22/28 months
DO_2D_4072_068w,DO-2D-4072,2D,52,68,69,16,4978,G24W1,13-18 months,8/10/16 months
DO_2D_4072_148w,DO-2D-4072,2D,56,148,148,34,4978,G24W1,>=31 months,34+months
DO_2D_4072_021w,DO-2D-4072,2D,48,21,21,5,4978,G24W1,<=5 months,5 months
DO_40_2116_021w,DO-40-2116,40,75,21,21,5,5882,G26W2,<=5 months,5 months
DO_40_2116_044w,DO-40-2116,40,77,44,44,10,5882,G26W2,6-12 months,8/10/16 months
DO_40_2116_175w,DO-40-2116,40,82,175,174,40,5882,G26W2,>=31 months,34+months
DO_40_2116_120w,DO-40-2116,40,80,120,121,28,5882,G26W2,25-30 months,22/28 months
DO_40_2117_096w,DO-40-2117,40,79,96,96,22,5882,G26W2,19-24 months,22/28 months
DO_40_2117_200w,DO-40-2117,40,82,200,200,46,5882,G26W2,>=31 months,34+months
DO_40_2117_148w,DO-40-2117,40,82,148,148,34,5882,G26W2,>=31 months,34+months
DO_40_2117_044w,DO-40-2117,40,77,44,44,10,5882,G26W2,6-12 months,8/10/16 months
DO_40_2117_175w,DO-40-2117,40,82,175,174,40,5882,G26W2,>=31 months,34+months
DO_40_2117_120w,DO-40-2117,40,80,120,121,28,5882,G26W2,25-30 months,22/28 months
DO_2D_4116_044w,DO-2D-4116,2D,77,44,44,10,5886,G26W2,6-12 months,8/10/16 months
DO_2D_4009_038w,DO-2D-4009,2D,4,38,35,8,3313,G22W1,6-12 months,8/10/16 months
DO_2D_4009_044w,DO-2D-4009,2D,2,44,44,10,3313,G22W1,6-12 months,8/10/16 months
DO_2D_4009_069w,DO-2D-4009,2D,5,69,69,16,3313,G22W1,13-18 months,8/10/16 months
DO_2D_4009_097w,DO-2D-4009,2D,6,97,96,22,3313,G22W1,19-24 months,22/28 months
DO_2D_4009_121w,DO-2D-4009,2D,6,121,121,28,3313,G22W1,25-30 months,22/28 months
DO_40_2007_097w,DO-40-2007,40,6,97,96,22,3302,G22W1,19-24 months,22/28 months
DO_40_2007_121w,DO-40-2007,40,6,121,121,28,3302,G22W1,25-30 months,22/28 months
DO_40_2007_069w,DO-40-2007,40,5,69,69,16,3302,G22W1,13-18 months,8/10/16 months
DO_40_2007_044w,DO-40-2007,40,1,44,44,10,3302,G22W1,6-12 months,8/10/16 months
DO_40_2007_038w,DO-40-2007,40,3,38,35,8,3302,G22W1,6-12 months,8/10/16 months
DO_1D_3056_096w,DO-1D-3056,1D,43,96,96,22,4340,G23W2,19-24 months,22/28 months
DO_1D_3056_148w,DO-1D-3056,1D,45,148,148,34,4340,G23W2,>=31 months,34+months
DO_1D_3056_121w,DO-1D-3056,1D,45,121,121,28,4340,G23W2,25-30 months,22/28 months
DO_2D_4047_096w,DO-2D-4047,2D,29,96,96,22,4115,G23W1,19-24 months,22/28 months
DO_2D_4047_069w,DO-2D-4047,2D,26,69,69,16,4115,G23W1,13-18 months,8/10/16 months
DO_20_1127_175w,DO-20-1127,20,82,175,174,40,5881,G26W2,>=31 months,34+months
DO_20_1127_021w,DO-20-1127,20,75,21,21,5,5881,G26W2,<=5 months,5 months
DO_20_1127_069w,DO-20-1127,20,78,69,69,16,5881,G26W2,13-18 months,8/10/16 months
DO_20_1127_120w,DO-20-1127,20,80,120,121,28,5881,G26W2,25-30 months,22/28 months
DO_20_1127_148w,DO-20-1127,20,82,148,148,34,5881,G26W2,>=31 months,34+months
DO_20_1127_044w,DO-20-1127,20,77,44,44,10,5881,G26W2,6-12 months,8/10/16 months
DO_40_2084_096w,DO-40-2084,40,66,96,96,22,5085,G24W2,19-24 months,22/28 months
DO_40_2084_069w,DO-40-2084,40,63,69,69,16,5085,G24W2,13-18 months,8/10/16 months
DO_40_2084_022w,DO-40-2084,40,57,22,21,5,5085,G24W2,<=5 months,5 months
DO_20_1163_044w,DO-20-1163,20,111,44,44,10,6471,G28W1,6-12 months,8/10/16 months
DO_20_1163_097w,DO-20-1163,20,115,97,96,22,6471,G28W1,19-24 months,22/28 months
DO_20_1163_069w,DO-20-1163,20,113,69,69,16,6471,G28W1,13-18 months,8/10/16 months
DO_AL_0051_121w,DO-AL-0051,AL,43,121,121,28,4332,G23W2,25-30 months,22/28 months
DO_AL_0051_020w,DO-AL-0051,AL,32,20,21,5,4332,G23W2,<=5 months,5 months
DO_AL_0051_044w,DO-AL-0051,AL,35,44,44,10,4332,G23W2,6-12 months,8/10/16 months
DO_AL_0051_096w,DO-AL-0051,AL,41,96,96,22,4332,G23W2,19-24 months,22/28 months
DO_AL_0051_069w,DO-AL-0051,AL,38,69,69,16,4332,G23W2,13-18 months,8/10/16 months
DO_40_2059_173w,DO-40-2059,40,46,173,174,40,4339,G23W2,>=31 months,34+months
DO_40_2059_121w,DO-40-2059,40,44,121,121,28,4339,G23W2,25-30 months,22/28 months
DO_40_2059_020w,DO-40-2059,40,34,20,21,5,4339,G23W2,<=5 months,5 months
DO_1D_3027_121w,DO-1D-3027,1D,15,121,121,28,3396,G22W2,25-30 months,22/28 months
DO_1D_3027_035w,DO-1D-3027,1D,10,35,35,8,3396,G22W2,6-12 months,8/10/16 months
DO_1D_3027_043w,DO-1D-3027,1D,11,43,44,10,3396,G22W2,6-12 months,8/10/16 months
DO_1D_3027_097w,DO-1D-3027,1D,14,97,96,22,3396,G22W2,19-24 months,22/28 months
DO_1D_3027_069w,DO-1D-3027,1D,13,69,69,16,3396,G22W2,13-18 months,8/10/16 months
DO_1D_3103_096w,DO-1D-3103,1D,74,96,96,22,5842,G26W1,19-24 months,22/28 months
DO_1D_3103_044w,DO-1D-3103,1D,71,44,44,10,5842,G26W1,6-12 months,8/10/16 months
DO_1D_3103_021w,DO-1D-3103,1D,69,21,21,5,5842,G26W1,<=5 months,5 months
DO_1D_3103_121w,DO-1D-3103,1D,81,121,121,28,5842,G26W1,25-30 months,22/28 months
DO_1D_3103_069w,DO-1D-3103,1D,73,69,69,16,5842,G26W1,13-18 months,8/10/16 months
DO_40_2088_022w,DO-40-2088,40,58,22,21,5,5085,G24W2,<=5 months,5 months
DO_40_2088_096w,DO-40-2088,40,66,96,96,22,5085,G24W2,19-24 months,22/28 months
DO_40_2088_173w,DO-40-2088,40,67,173,174,40,5085,G24W2,>=31 months,34+months
DO_40_2088_069w,DO-40-2088,40,63,69,69,16,5085,G24W2,13-18 months,8/10/16 months
DO_20_1044_044w,DO-20-1044,20,22,44,44,10,4107,G23W1,6-12 months,8/10/16 months
DO_20_1044_096w,DO-20-1044,20,27,96,96,22,4107,G23W1,19-24 months,22/28 months
DO_20_1044_023w,DO-20-1044,20,18,23,21,5,4107,G23W1,<=5 months,5 months
DO_20_1044_121w,DO-20-1044,20,29,121,121,28,4107,G23W1,25-30 months,22/28 months
DO_20_1044_069w,DO-20-1044,20,25,69,69,16,4107,G23W1,13-18 months,8/10/16 months
DO_2D_4006_069w,DO-2D-4006,2D,5,69,69,16,3312,G22W1,13-18 months,8/10/16 months
DO_2D_4006_038w,DO-2D-4006,2D,4,38,35,8,3312,G22W1,6-12 months,8/10/16 months
DO_2D_4006_044w,DO-2D-4006,2D,2,44,44,10,3312,G22W1,6-12 months,8/10/16 months
DO_2D_4006_097w,DO-2D-4006,2D,6,97,96,22,3312,G22W1,19-24 months,22/28 months
DO_20_1181_021w,DO-20-1181,20,118,21,21,5,6533,G28W2,<=5 months,5 months
DO_20_1181_122w,DO-20-1181,20,127,122,121,28,6533,G28W2,25-30 months,22/28 months
DO_40_2164_021w,DO-40-2164,40,108,21,21,5,6473,G28W1,<=5 months,5 months
DO_40_2164_069w,DO-40-2164,40,114,69,69,16,6473,G28W1,13-18 months,8/10/16 months
DO_2D_4021_035w,DO-2D-4021,2D,10,35,35,8,3397,G22W2,6-12 months,8/10/16 months
DO_2D_4021_069w,DO-2D-4021,2D,13,69,69,16,3397,G22W2,13-18 months,8/10/16 months
DO_2D_4021_043w,DO-2D-4021,2D,11,43,44,10,3397,G22W2,6-12 months,8/10/16 months
DO_AL_0010_044w,DO-AL-0010,AL,1,44,44,10,3298,G22W1,6-12 months,8/10/16 months
DO_AL_0010_069w,DO-AL-0010,AL,4,69,69,16,3298,G22W1,13-18 months,8/10/16 months
DO_AL_0010_038w,DO-AL-0010,AL,3,38,35,8,3298,G22W1,6-12 months,8/10/16 months
DO_AL_0010_097w,DO-AL-0010,AL,6,97,96,22,3298,G22W1,19-24 months,22/28 months
DO_1D_3123_120w,DO-1D-3123,1D,80,120,121,28,5885,G26W2,25-30 months,22/28 months
DO_1D_3123_044w,DO-1D-3123,1D,77,44,44,10,5885,G26W2,6-12 months,8/10/16 months
DO_1D_3123_148w,DO-1D-3123,1D,82,148,148,34,5885,G26W2,>=31 months,34+months
DO_1D_3123_096w,DO-1D-3123,1D,79,96,96,22,5885,G26W2,19-24 months,22/28 months
DO_40_2060_020w,DO-40-2060,40,34,20,21,5,4339,G23W2,<=5 months,5 months
DO_40_2060_069w,DO-40-2060,40,39,69,69,16,4339,G23W2,13-18 months,8/10/16 months
DO_40_2016_097w,DO-40-2016,40,6,97,96,22,3303,G22W1,19-24 months,22/28 months
DO_40_2016_069w,DO-40-2016,40,5,69,69,16,3303,G22W1,13-18 months,8/10/16 months
DO_40_2016_121w,DO-40-2016,40,6,121,121,28,3303,G22W1,25-30 months,22/28 months
DO_40_2016_038w,DO-40-2016,40,3,38,35,8,3303,G22W1,6-12 months,8/10/16 months
DO_2D_4145_148w,DO-2D-4145,2D,107,148,148,34,6299,G27W2,>=31 months,34+months
DO_2D_4145_096w,DO-2D-4145,2D,103,96,96,22,6299,G27W2,19-24 months,22/28 months
DO_2D_4145_069w,DO-2D-4145,2D,101,69,69,16,6299,G27W2,13-18 months,8/10/16 months
DO_2D_4145_121w,DO-2D-4145,2D,105,121,121,28,6299,G27W2,25-30 months,22/28 months
DO_AL_0129_021w,DO-AL-0129,AL,83,21,21,5,6182,G27W1,<=5 months,5 months
DO_40_2189_069w,DO-40-2189,40,124,69,69,16,6536,G28W2,13-18 months,8/10/16 months
DO_40_2189_122w,DO-40-2189,40,127,122,121,28,6536,G28W2,25-30 months,22/28 months
DO_40_2189_096w,DO-40-2189,40,126,96,96,22,6536,G28W2,19-24 months,22/28 months
DO_1D_3124_021w,DO-1D-3124,1D,76,21,21,5,5885,G26W2,<=5 months,5 months
DO_1D_3124_044w,DO-1D-3124,1D,77,44,44,10,5885,G26W2,6-12 months,8/10/16 months
DO_1D_3124_096w,DO-1D-3124,1D,79,96,96,22,5885,G26W2,19-24 months,22/28 months
DO_1D_3124_120w,DO-1D-3124,1D,80,120,121,28,5885,G26W2,25-30 months,22/28 months
DO_1D_3124_069w,DO-1D-3124,1D,78,69,69,16,5885,G26W2,13-18 months,8/10/16 months
DO_1D_3166_021w,DO-1D-3166,1D,109,21,21,5,6475,G28W1,<=5 months,5 months
DO_1D_3166_044w,DO-1D-3166,1D,112,44,44,10,6475,G28W1,6-12 months,8/10/16 months
DO_1D_3166_069w,DO-1D-3166,1D,114,69,69,16,6475,G28W1,13-18 months,8/10/16 months
DO_20_1062_148w,DO-20-1062,20,45,148,148,34,4337,G23W2,>=31 months,34+months
DO_20_1062_069w,DO-20-1062,20,39,69,69,16,4337,G23W2,13-18 months,8/10/16 months
DO_20_1062_096w,DO-20-1062,20,42,96,96,22,4337,G23W2,19-24 months,22/28 months
DO_2D_4059_096w,DO-2D-4059,2D,43,96,96,22,4336,G23W2,19-24 months,22/28 months
DO_2D_4059_121w,DO-2D-4059,2D,45,121,121,28,4336,G23W2,25-30 months,22/28 months
DO_2D_4059_044w,DO-2D-4059,2D,37,44,44,10,4336,G23W2,6-12 months,8/10/16 months
DO_2D_4059_148w,DO-2D-4059,2D,45,148,148,34,4336,G23W2,>=31 months,34+months
DO_2D_4059_069w,DO-2D-4059,2D,40,69,69,16,4336,G23W2,13-18 months,8/10/16 months
DO_1D_3070_068w,DO-1D-3070,1D,52,68,69,16,4976,G24W1,13-18 months,8/10/16 months
DO_AL_0033_174w,DO-AL-0033,AL,31,174,174,40,4104,G23W1,>=31 months,34+months
DO_AL_0033_023w,DO-AL-0033,AL,17,23,21,5,4104,G23W1,<=5 months,5 months
DO_AL_0033_148w,DO-AL-0033,AL,30,148,148,34,4104,G23W1,>=31 months,34+months
DO_AL_0033_096w,DO-AL-0033,AL,26,96,96,22,4104,G23W1,19-24 months,22/28 months
DO_AL_0033_069w,DO-AL-0033,AL,24,69,69,16,4104,G23W1,13-18 months,8/10/16 months
DO_AL_0033_121w,DO-AL-0033,AL,29,121,121,28,4104,G23W1,25-30 months,22/28 months
DO_AL_0012_069w,DO-AL-0012,AL,4,69,69,16,3298,G22W1,13-18 months,8/10/16 months
DO_AL_0012_044w,DO-AL-0012,AL,1,44,44,10,3298,G22W1,6-12 months,8/10/16 months
DO_AL_0012_148w,DO-AL-0012,AL,6,148,148,34,3298,G22W1,>=31 months,34+months
DO_AL_0012_121w,DO-AL-0012,AL,6,121,121,28,3298,G22W1,25-30 months,22/28 months
DO_AL_0012_038w,DO-AL-0012,AL,3,38,35,8,3298,G22W1,6-12 months,8/10/16 months
DO_AL_0012_097w,DO-AL-0012,AL,6,97,96,22,3298,G22W1,19-24 months,22/28 months
DO_20_1075_068w,DO-20-1075,20,51,68,69,16,4973,G24W1,13-18 months,8/10/16 months
DO_20_1075_096w,DO-20-1075,20,52,96,96,22,4973,G24W1,19-24 months,22/28 months
DO_20_1075_021w,DO-20-1075,20,46,21,21,5,4973,G24W1,<=5 months,5 months
DO_40_2186_122w,DO-40-2186,40,127,122,121,28,6536,G28W2,25-30 months,22/28 months
DO_40_2186_021w,DO-40-2186,40,119,21,21,5,6536,G28W2,<=5 months,5 months
DO_40_2186_069w,DO-40-2186,40,124,69,69,16,6536,G28W2,13-18 months,8/10/16 months
DO_40_2186_044w,DO-40-2186,40,121,44,44,10,6536,G28W2,6-12 months,8/10/16 months
DO_2D_4130_021w,DO-2D-4130,2D,85,21,21,5,6190,G27W1,<=5 months,5 months
DO_2D_4130_044w,DO-2D-4130,2D,88,44,44,10,6190,G27W1,6-12 months,8/10/16 months
DO_2D_4130_096w,DO-2D-4130,2D,93,96,96,22,6190,G27W1,19-24 months,22/28 months
DO_2D_4130_069w,DO-2D-4130,2D,91,69,69,16,6190,G27W1,13-18 months,8/10/16 months
DO_1D_3122_096w,DO-1D-3122,1D,79,96,96,22,5885,G26W2,19-24 months,22/28 months
DO_1D_3122_069w,DO-1D-3122,1D,78,69,69,16,5885,G26W2,13-18 months,8/10/16 months
DO_1D_3122_044w,DO-1D-3122,1D,77,44,44,10,5885,G26W2,6-12 months,8/10/16 months
DO_1D_3122_021w,DO-1D-3122,1D,76,21,21,5,5885,G26W2,<=5 months,5 months
DO_40_2188_044w,DO-40-2188,40,121,44,44,10,6536,G28W2,6-12 months,8/10/16 months
DO_40_2188_021w,DO-40-2188,40,119,21,21,5,6536,G28W2,<=5 months,5 months
DO_40_2188_069w,DO-40-2188,40,124,69,69,16,6536,G28W2,13-18 months,8/10/16 months
DO_AL_0155_044w,DO-AL-0155,AL,98,44,44,10,6302,G27W2,6-12 months,8/10/16 months
DO_AL_0155_021w,DO-AL-0155,AL,96,21,21,5,6302,G27W2,<=5 months,5 months
DO_2D_4055_020w,DO-2D-4055,2D,35,20,21,5,4334,G23W2,<=5 months,5 months
DO_AL_0133_021w,DO-AL-0133,AL,83,21,21,5,6182,G27W1,<=5 months,5 months
DO_AL_0133_121w,DO-AL-0133,AL,94,121,121,28,6182,G27W1,25-30 months,22/28 months
DO_AL_0133_069w,DO-AL-0133,AL,88,69,69,16,6182,G27W1,13-18 months,8/10/16 months
DO_AL_0133_044w,DO-AL-0133,AL,85,44,44,10,6182,G27W1,6-12 months,8/10/16 months
DO_20_1085_022w,DO-20-1085,20,57,22,21,5,5078,G24W2,<=5 months,5 months
DO_20_1080_021w,DO-20-1080,20,46,21,21,5,4973,G24W1,<=5 months,5 months
DO_20_1080_068w,DO-20-1080,20,51,68,69,16,4973,G24W1,13-18 months,8/10/16 months
DO_1D_3094_069w,DO-1D-3094,1D,64,69,69,16,5094,G24W2,13-18 months,8/10/16 months
DO_1D_3094_044w,DO-1D-3094,1D,61,44,44,10,5094,G24W2,6-12 months,8/10/16 months
DO_1D_3094_121w,DO-1D-3094,1D,67,121,121,28,5094,G24W2,25-30 months,22/28 months
DO_2D_4024_035w,DO-2D-4024,2D,10,35,35,8,3397,G22W2,6-12 months,8/10/16 months
DO_2D_4024_121w,DO-2D-4024,2D,15,121,121,28,3397,G22W2,25-30 months,22/28 months
DO_2D_4024_069w,DO-2D-4024,2D,13,69,69,16,3397,G22W2,13-18 months,8/10/16 months
DO_2D_4024_043w,DO-2D-4024,2D,11,43,44,10,3397,G22W2,6-12 months,8/10/16 months
DO_1D_3165_021w,DO-1D-3165,1D,109,21,21,5,6475,G28W1,<=5 months,5 months
DO_1D_3165_069w,DO-1D-3165,1D,114,69,69,16,6475,G28W1,13-18 months,8/10/16 months
DO_1D_3165_044w,DO-1D-3165,1D,112,44,44,10,6475,G28W1,6-12 months,8/10/16 months
DO_1D_3055_020w,DO-1D-3055,1D,34,20,21,5,4340,G23W2,<=5 months,5 months
DO_AL_0023_069w,DO-AL-0023,AL,12,69,69,16,3389,G22W2,13-18 months,8/10/16 months
DO_AL_0023_043w,DO-AL-0023,AL,10,43,44,10,3389,G22W2,6-12 months,8/10/16 months
DO_AL_0023_035w,DO-AL-0023,AL,9,35,35,8,3389,G22W2,6-12 months,8/10/16 months
DO_1D_3178_122w,DO-1D-3178,1D,127,122,121,28,6537,G28W2,25-30 months,22/28 months
DO_1D_3178_021w,DO-1D-3178,1D,120,21,21,5,6537,G28W2,<=5 months,5 months
DO_1D_3178_069w,DO-1D-3178,1D,124,69,69,16,6537,G28W2,13-18 months,8/10/16 months
DO_AL_0029_069w,DO-AL-0029,AL,12,69,69,16,3390,G22W2,13-18 months,8/10/16 months
DO_AL_0029_035w,DO-AL-0029,AL,9,35,35,8,3390,G22W2,6-12 months,8/10/16 months
DO_AL_0029_043w,DO-AL-0029,AL,10,43,44,10,3390,G22W2,6-12 months,8/10/16 months
DO_AL_0189_021w,DO-AL-0189,AL,118,21,21,5,6532,G28W2,<=5 months,5 months
DO_AL_0189_069w,DO-AL-0189,AL,123,69,69,16,6532,G28W2,13-18 months,8/10/16 months
DO_40_2104_044w,DO-40-2104,40,70,44,44,10,5840,G26W1,6-12 months,8/10/16 months
DO_1D_3066_095w,DO-1D-3066,1D,53,95,96,22,4976,G24W1,19-24 months,22/28 months
DO_1D_3066_021w,DO-1D-3066,1D,47,21,21,5,4976,G24W1,<=5 months,5 months
DO_1D_3066_068w,DO-1D-3066,1D,52,68,69,16,4976,G24W1,13-18 months,8/10/16 months
DO_1D_3066_120w,DO-1D-3066,1D,55,120,121,28,4976,G24W1,25-30 months,22/28 months
DO_1D_3142_096w,DO-1D-3142,1D,93,96,96,22,6189,G27W1,19-24 months,22/28 months
DO_1D_3142_069w,DO-1D-3142,1D,91,69,69,16,6189,G27W1,13-18 months,8/10/16 months
DO_1D_3142_121w,DO-1D-3142,1D,95,121,121,28,6189,G27W1,25-30 months,22/28 months
DO_1D_3142_021w,DO-1D-3142,1D,85,21,21,5,6189,G27W1,<=5 months,5 months
DO_1D_3142_044w,DO-1D-3142,1D,88,44,44,10,6189,G27W1,6-12 months,8/10/16 months
DO_40_2043_148w,DO-40-2043,40,31,148,148,34,4109,G23W1,>=31 months,34+months
DO_40_2043_044w,DO-40-2043,40,23,44,44,10,4109,G23W1,6-12 months,8/10/16 months
DO_40_2043_069w,DO-40-2043,40,25,69,69,16,4109,G23W1,13-18 months,8/10/16 months
DO_40_2043_096w,DO-40-2043,40,28,96,96,22,4109,G23W1,19-24 months,22/28 months
DO_1D_3163_097w,DO-1D-3163,1D,115,97,96,22,6475,G28W1,19-24 months,22/28 months
DO_1D_3163_021w,DO-1D-3163,1D,109,21,21,5,6475,G28W1,<=5 months,5 months
DO_1D_3050_020w,DO-1D-3050,1D,34,20,21,5,4340,G23W2,<=5 months,5 months
DO_1D_3050_096w,DO-1D-3050,1D,42,96,96,22,4340,G23W2,19-24 months,22/28 months
DO_1D_3050_044w,DO-1D-3050,1D,37,44,44,10,4340,G23W2,6-12 months,8/10/16 months
DO_40_2148_096w,DO-40-2148,40,102,96,96,22,6305,G27W2,19-24 months,22/28 months
DO_40_2148_021w,DO-40-2148,40,97,21,21,5,6305,G27W2,<=5 months,5 months
DO_40_2148_069w,DO-40-2148,40,101,69,69,16,6305,G27W2,13-18 months,8/10/16 months
DO_2D_4010_038w,DO-2D-4010,2D,4,38,35,8,3313,G22W1,6-12 months,8/10/16 months
DO_AL_0121_069w,DO-AL-0121,AL,78,69,69,16,5879,G26W2,13-18 months,8/10/16 months
DO_AL_0121_044w,DO-AL-0121,AL,77,44,44,10,5879,G26W2,6-12 months,8/10/16 months
DO_AL_0121_021w,DO-AL-0121,AL,75,21,21,5,5879,G26W2,<=5 months,5 months
DO_1D_3042_044w,DO-1D-3042,1D,23,44,44,10,4113,G23W1,6-12 months,8/10/16 months
DO_1D_3042_023w,DO-1D-3042,1D,19,23,21,5,4113,G23W1,<=5 months,5 months
DO_1D_3042_069w,DO-1D-3042,1D,25,69,69,16,4113,G23W1,13-18 months,8/10/16 months
DO_40_2037_069w,DO-40-2037,40,25,69,69,16,4108,G23W1,13-18 months,8/10/16 months
DO_1D_3187_021w,DO-1D-3187,1D,120,21,21,5,6538,G28W2,<=5 months,5 months
DO_1D_3187_044w,DO-1D-3187,1D,121,44,44,10,6538,G28W2,6-12 months,8/10/16 months
DO_1D_3157_096w,DO-1D-3157,1D,103,96,96,22,6308,G27W2,19-24 months,22/28 months
DO_1D_3157_069w,DO-1D-3157,1D,101,69,69,16,6308,G27W2,13-18 months,8/10/16 months
DO_1D_3157_021w,DO-1D-3157,1D,97,21,21,5,6308,G27W2,<=5 months,5 months
DO_2D_4027_069w,DO-2D-4027,2D,13,69,69,16,3398,G22W2,13-18 months,8/10/16 months
DO_2D_4027_035w,DO-2D-4027,2D,10,35,35,8,3398,G22W2,6-12 months,8/10/16 months
