sample,mouse.ID,Diet,Batch,age.wks,age.approx.wks,Age (month),Cage,Cohort,Age_bins,Age group
DO_1D_3096_069w,DO-1D-3096,1D,64,69,69,16,5094,G24W2,13-18 months,8/10/16 months
DO_1D_3096_044w,DO-1D-3096,1D,61,44,44,10,5094,G24W2,6-12 months,8/10/16 months
DO_40_2101_044w,DO-40-2101,40,70,44,44,10,5840,G26W1,6-12 months,8/10/16 months
DO_40_2101_069w,DO-40-2101,40,72,69,69,16,5840,G26W1,13-18 months,8/10/16 months
DO_40_2101_096w,DO-40-2101,40,74,96,96,22,5840,G26W1,19-24 months,22/28 months
DO_40_2101_020w,DO-40-2101,40,69,20,21,5,5840,G26W1,<=5 months,5 months
DO_1D_3164_097w,DO-1D-3164,1D,115,97,96,22,6475,G28W1,19-24 months,22/28 months
DO_1D_3164_069w,DO-1D-3164,1D,114,69,69,16,6475,G28W1,13-18 months,8/10/16 months
DO_1D_3164_021w,DO-1D-3164,1D,109,21,21,5,6475,G28W1,<=5 months,5 months
DO_40_2003_121w,DO-40-2003,40,6,121,121,28,3302,G22W1,25-30 months,22/28 months
DO_40_2003_097w,DO-40-2003,40,6,97,96,22,3302,G22W1,19-24 months,22/28 months
DO_40_2003_044w,DO-40-2003,40,1,44,44,10,3302,G22W1,6-12 months,8/10/16 months
DO_40_2003_174w,DO-40-2003,40,7,174,174,40,3302,G22W1,>=31 months,34+months
DO_40_2003_069w,DO-40-2003,40,5,69,69,16,3302,G22W1,13-18 months,8/10/16 months
DO_40_2003_148w,DO-40-2003,40,7,148,148,34,3302,G22W1,>=31 months,34+months
DO_AL_0103_020w,DO-AL-0103,AL,68,20,21,5,5835,G26W1,<=5 months,5 months
DO_AL_0103_096w,DO-AL-0103,AL,74,96,96,22,5835,G26W1,19-24 months,22/28 months
DO_AL_0103_069w,DO-AL-0103,AL,72,69,69,16,5835,G26W1,13-18 months,8/10/16 months
DO_AL_0103_044w,DO-AL-0103,AL,70,44,44,10,5835,G26W1,6-12 months,8/10/16 months
DO_2D_4100_096w,DO-2D-4100,2D,74,96,96,22,5844,G26W1,19-24 months,22/28 months
DO_2D_4100_044w,DO-2D-4100,2D,71,44,44,10,5844,G26W1,6-12 months,8/10/16 months
DO_2D_4100_021w,DO-2D-4100,2D,69,21,21,5,5844,G26W1,<=5 months,5 months
DO_20_1057_121w,DO-20-1057,20,44,121,121,28,4337,G23W2,25-30 months,22/28 months
DO_20_1057_069w,DO-20-1057,20,38,69,69,16,4337,G23W2,13-18 months,8/10/16 months
DO_40_2017_043w,DO-40-2017,40,11,43,44,10,3393,G22W2,6-12 months,8/10/16 months
DO_40_2017_148w,DO-40-2017,40,15,148,148,34,3393,G22W2,>=31 months,34+months
DO_40_2017_069w,DO-40-2017,40,12,69,69,16,3393,G22W2,13-18 months,8/10/16 months
DO_40_2017_174w,DO-40-2017,40,16,174,174,40,3393,G22W2,>=31 months,34+months
DO_40_2017_121w,DO-40-2017,40,15,121,121,28,3393,G22W2,25-30 months,22/28 months
DO_20_1094_022w,DO-20-1094,20,57,22,21,5,5082,G24W2,<=5 months,5 months
DO_20_1094_096w,DO-20-1094,20,66,96,96,22,5082,G24W2,19-24 months,22/28 months
DO_20_1094_069w,DO-20-1094,20,62,69,69,16,5082,G24W2,13-18 months,8/10/16 months
DO_20_1094_121w,DO-20-1094,20,66,121,121,28,5082,G24W2,25-30 months,22/28 months
DO_20_1019_069w,DO-20-1019,20,12,69,69,16,3391,G22W2,13-18 months,8/10/16 months
DO_20_1019_035w,DO-20-1019,20,9,35,35,8,3391,G22W2,6-12 months,8/10/16 months
DO_20_1019_043w,DO-20-1019,20,10,43,44,10,3391,G22W2,6-12 months,8/10/16 months
DO_20_1074_068w,DO-20-1074,20,51,68,69,16,4973,G24W1,13-18 months,8/10/16 months
DO_20_1074_096w,DO-20-1074,20,52,96,96,22,4973,G24W1,19-24 months,22/28 months
DO_20_1074_149w,DO-20-1074,20,56,149,148,34,4973,G24W1,>=31 months,34+months
DO_AL_0055_096w,DO-AL-0055,AL,41,96,96,22,4332,G23W2,19-24 months,22/28 months
DO_AL_0055_020w,DO-AL-0055,AL,32,20,21,5,4332,G23W2,<=5 months,5 months
DO_2D_4005_038w,DO-2D-4005,2D,4,38,35,8,3312,G22W1,6-12 months,8/10/16 months
DO_2D_4005_069w,DO-2D-4005,2D,5,69,69,16,3312,G22W1,13-18 months,8/10/16 months
DO_2D_4005_044w,DO-2D-4005,2D,2,44,44,10,3312,G22W1,6-12 months,8/10/16 months
DO_20_1070_068w,DO-20-1070,20,51,68,69,16,4972,G24W1,13-18 months,8/10/16 months
DO_20_1070_044w,DO-20-1070,20,48,44,44,10,4972,G24W1,6-12 months,8/10/16 months
DO_20_1070_021w,DO-20-1070,20,46,21,21,5,4972,G24W1,<=5 months,5 months
DO_20_1024_069w,DO-20-1024,20,12,69,69,16,3391,G22W2,13-18 months,8/10/16 months
DO_20_1024_097w,DO-20-1024,20,13,97,96,22,3391,G22W2,19-24 months,22/28 months
